"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"10100_1012_1","4_1104_20260401","1104_2412524_20260401","岡山駅",,,,"2_1012_1",,,"4"
"10100_1012_1","2_1096_20260401","1096_2102616_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1095_20260401","1095_1110713_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1096_20260401","1096_2104116_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1095_20260401","1095_1100235_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1096_20260401","1096_2101824_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1096_20260401","1096_2100926_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1095_20260401","1095_1102834_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1096_20260401","1096_2104133_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1096_20260401","1096_2103423_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1095_20260401","1095_1100533_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1095_20260401","1095_1113416_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1096_20260401","1096_2112143_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1095_20260401","1095_1102823_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1096_20260401","1096_2100814_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1096_20260401","1096_2101617_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1096_20260401","1096_2110236_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1096_20260401","1096_2101634_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1096_20260401","1096_2111717_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1095_20260401","1095_1111723_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1096_20260401","1096_2100123_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1095_20260401","1095_1101522_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1095_20260401","1095_1110436_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1095_20260401","1095_1114214_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1095_20260401","1095_1112016_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1095_20260401","1095_1103123_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","4_1103_20260401","1103_1401032_20260401","岡山駅",,,,"2_1012_1",,,"4"
"10100_1012_1","2_1095_20260401","1095_1103414_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1013_1","2_1096_20260401","1096_2111325_20260401","岡南営業所",,,,"2_1013_1",,,"2"
"10100_1013_1","2_1095_20260401","1095_1111324_20260401","岡南営業所",,,,"2_1013_1",,,"2"
"10100_1013_1","2_1095_20260401","1095_1112135_20260401","岡南営業所",,,,"2_1013_1",,,"2"
"10100_1014_1","2_1095_20260401","1095_1112112_20260401","岡山駅",,,,"2_1014_1",,,"2"
"10100_1014_1","2_1096_20260401","1096_2101812_20260401","岡山駅",,,,"2_1014_1",,,"2"
"10100_1014_1","2_1096_20260401","1096_2112112_20260401","岡山駅",,,,"2_1014_1",,,"2"
"10100_1014_1","2_1095_20260401","1095_1112312_20260401","岡山駅",,,,"2_1014_1",,,"2"
"10100_1014_1","2_1095_20260401","1095_1113212_20260401","岡山駅",,,,"2_1014_1",,,"2"
"10100_1014_1","2_1095_20260401","1095_1101112_20260401","岡山駅",,,,"2_1014_1",,,"2"
"10150_1015_1","2_1095_20260401","1095_1110514_20260401","岡山駅",,,,"2_1015_1",,,"2"
