"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"29007_290873_1","29_921_20251001","921_292014864_20251001","新倉敷駅",,,,"3_290873_1",,,"29"
"29007_290873_1","29_920_20251001","920_292014858_20251001","新倉敷駅",,,,"3_290873_1",,,"29"
"29007_290873_1","29_921_20251001","921_292014865_20251001","新倉敷駅",,,,"3_290873_1",,,"29"
"29007_290873_1","29_918_20251001","918_292014853_20251001","新倉敷駅",,,,"3_290873_1",,,"29"
"29007_290873_1","29_918_20251001","918_292014850_20251001","新倉敷駅",,,,"3_290873_1",,,"29"
"29007_290873_1","29_921_20251001","921_292014863_20251001","新倉敷駅",,,,"3_290873_1",,,"29"
"29007_290873_1","29_920_20251001","920_292014859_20251001","新倉敷駅",,,,"3_290873_1",,,"29"
"29007_290874_1","29_921_20251001","921_292014910_20251001","坂田町",,,,"3_290874_1",,,"29"
"29007_290874_1","29_918_20251001","918_292014900_20251001","坂田町",,,,"3_290874_1",,,"29"
"29007_290874_1","29_918_20251001","918_292014898_20251001","坂田町",,,,"3_290874_1",,,"29"
"29007_290874_1","29_918_20251001","918_292014899_20251001","坂田町",,,,"3_290874_1",,,"29"
"29007_290874_1","29_920_20251001","920_292014907_20251001","坂田町",,,,"3_290874_1",,,"29"
"29007_290874_1","29_918_20251001","918_292014901_20251001","坂田町",,,,"3_290874_1",,,"29"
"29007_290874_1","29_921_20251001","921_292014913_20251001","坂田町",,,,"3_290874_1",,,"29"
"29007_290874_1","29_921_20251001","921_292014911_20251001","坂田町",,,,"3_290874_1",,,"29"
"29007_290874_1","29_920_20251001","920_292014906_20251001","坂田町",,,,"3_290874_1",,,"29"
"29007_290874_1","29_921_20251001","921_292014912_20251001","坂田町",,,,"3_290874_1",,,"29"
"29008_290851_1","29_920_20251001","920_292014922_20251001","新倉敷駅",,,,"3_290851_1",,,"29"
"29008_290851_1","29_918_20251001","918_292017004_20251001","新倉敷駅",,,,"3_290851_1",,,"29"
"29008_290851_1","29_918_20251001","918_292017002_20251001","新倉敷駅",,,,"3_290851_1",,,"29"
"29008_290851_1","29_920_20251001","920_292014921_20251001","新倉敷駅",,,,"3_290851_1",,,"29"
"29008_290851_1","29_921_20251001","921_292014932_20251001","新倉敷駅",,,,"3_290851_1",,,"29"
"29008_290851_1","29_921_20251001","921_292014933_20251001","新倉敷駅",,,,"3_290851_1",,,"29"
